"CellType" "Acurrent" "TailCurrent" "Leak" "Ccell" "Raccess" "V2h" "kh" "Imax"
"80" "D" "yes" "yes" -14 6.714 30 -34.146 6.029 -1345.6
"81" "D" "yes" "yes" -289 9.372 22 -40 6 -1366
"82" "B" "no" "no" -12.4 9.116 13.05 -86.9 18.704 -470.188
"83" "B" "no" "no" -15 6.196 15.61 -76.227 16.329 -374.438
"84" "B" "no" "no" -21.294 6.549 23.05 -89.489 16.485 -376.437
"85" "B" "no" "no" -10.56 5.328 22.49 -73.016 11.7 -572.688
"86" "B" "no" "no" -30.17 5.818 17.26 -81.931 12.662 -874.438
"87" "B" "no" "no" -6.505 5.771 20.75 -96.529 27.734 -452.938
"88" "B" "no" "no" -29.8 6.378 23.64 -80.201 23.629 -675.438
"89" "B" "no" "no" -6.647 3.022 38.05 -100.253 26.852 -428.75
"90" "B" "no" "no" -32.5 6.3 27.88 -79.575 10.708 -958.25
"91" "B" "no" "no" -12.02 3.7 31.37 -76.931 14.582 -883.75
"92" "B" "no" "no" -32.68 5.27 20.78 -95.887 8.379 -984.125
"93" "B" "no" "no" -36.9 5.104 32.38 -93.248 15.221 -1049.9
"94" "B" "no" "no" -19.18 5.837 44.86 -97.931 22.748 -616.813
"95" "B" "no" "no" -23.13 4.659 22.62 -85.509 12.485 -984.438
"96" "B" "no" "no" -20.8 4.69 27.94 -81.542 15.15 -818.313
"97" "B" "no" "no" -48.49 7.156 13.62 -99.75 18.29 -181.063
"98" "B" "no" "no" -57.95 4.721 24.86 -91.292 9.761 -1032
"99" "B" "no" "no" -16 3.798 28.68 -72.342 16.2 -1312.2
"100" "B" "no" "no" -33.99 4.265 16.54 -84.039 9.791 -1149.6
"101" "B" "no" "no" -14.32 4.043 22.62 -78.618 9.287 -758.938
"102" "B" "no" "no" -18.53 5.765 16.46 -98.466 12.71 -1439.1
"103" "B" "no" "no" -11.65 12.97 0 -42.281 7.985 -1033.2
"104" "B" "no" "no" -15.16 4.711 22.05 -92.784 8.977 -994.188
"105" "B" "no" "no" -18.21 6.697 17.85 -94.276 6.233 -386.188
"106" "B" "no" "no" 0.2876 11.78 45.85 -90.582 8.844 -897.563
"107" "B" "no" "no" -15.94 8.077 22.53 -88.755 18.347 -200.75
"108" "B" "no" "no" -35.08 11.27 16.6 -91.806 7.299 -771.188
"109" "B" "no" "no" -94.71 14.22 24.8 -95.419 9.872 -1130.1
"110" "B" "no" "no" -0.4896 5.326 13.76 -72.877 8.719 -463.906
"111" "B" "no" "no" -3.618 5.59 15.07 -100.9 9.156 -301.094
"112" "B" "no" "no" -6.974 4.181 27.69 -79.923 10.617 -1295.9
"113" "B" "no" "no" -5.315 5.15 27.83 -85.291 12.443 -647.813
"114" "B" "no" "no" -7.536 3.864 20.36 -102.916 12.748 -1007.2
"115" "B" "no" "no" -9.095 4.875 14.83 -80.796 18.816 -1453.9
"116" "B" "no" "no" -4.142 3.363 40.22 -34.094 8.473 -699.438
"117" "B" "no" "no" -5.85 6.565 25.21 -89.893 15.909 -345.563
"118" "B" "no" "no" -23.31 5.313 15.73 -80.04 15.955 -1221.7
"119" "B" "no" "no" 0.1803 4.089 32.98 -83.346 19.13 -935.625
"120" "B" "no" "no" -10.4 5.107 20.07 -82.375 17.831 -972.06
"121" "B" "no" "no" -10.97 6.628 16.96 -39.586 8.105 -317.25
"122" "B" "no" "no" -31.47 4.053 20.56 -96.991 7.208 -242
"123" "A" "no" "no" -40.51 6.565 16.67 -33 6.5 -402.69
"124" "A" "no" "no" -6.732 2.874 28.03 -29.407 4.988 -146.25
"125" "A" "no" "no" -35.69 5.428 39.19 -38.195 7.068 -309.313
"126" "A" "no" "no" -41.62 8.339 14.63 -32.584 6.663 -782.563
"127" "A" "no" "no" -3.714 4.843 20.15 -29.797 8.346 -419.531
"128" "A" "no" "no" -17.88 5.363 18.01 -19.517 3.172 -503.438
"129" "A" "no" "no" -27.47 5.313 25.18 -35.827 7.268 -525.438
"130" "A" "no" "no" -19.26 6.36 13.6 -35.772 8.99 -337.313
"131" "A" "no" "no" -9.766 5.389 33.27 -68.784 9.567 -788.281
"132" "A" "no" "no" -12.057 4.107 16.81 -31.937 13.327 -535.625
"133" "A" "no" "no" -12.057 4.107 16.81 -31.937 13.327 -535.625
"134" "A" "no" "no" -12.057 3.611 14.37 -36.696 13.75 -411.625
"135" "A" "no" "no" -12.057 3.124 17.17 -36.869 9.725 -312.25
"136" "A" "no" "no" -12.057 3.573 21.03 -25.962 5.484 -349.375
"137" "A" "no" "no" -12.057 4.31 16.81 -40.519 7.431 -325.25
"138" "A" "no" "no" -12.057 2.791 31.36 -29.131 8.38 -394.187
"139" "A" "no" "no" -12.057 4.25 31.01 -32.345 5.799 -303.687
"140" "A" "no" "no" -4.089 3.681 27.3 -27.552 10.268 -196.313
"141" "A" "no" "no" -10.25 2.567 35.27 -29.864 8.043 -573.875
"142" "A" "no" "no" -3.892 6.137 15.93 -34.868 7.705 -707.5
"143" "A" "no" "no" -11.49 4.727 17.49 -36.13 7.95 -778.938
"144" "A" "no" "no" -17.01 3.058 31.29 -28.82 8.147 -626.438
"145" "A" "no" "no" -9.207 3.941 20.36 -27.082 3.989 -555.5
"146" "A" "no" "no" -6.251 3.079 22.27 -28.177 4.782 -317.625
"147" "A" "no" "no" -5.725 2.78 39.07 -36.446 5.709 -245.875
"148" "A" "no" "no" -15.47 2.831 43.94 -44.432 19.373 -159.25
"149" "A" "no" "no" -2.333 3.114 26.96 -27.76 6.024 -333.438
"150" "A" "no" "no" -12.24 4.048 19.56 -38.152 10.701 -336.688
"151" "A" "no" "no" -4.341 3.529 20.91 -50.467 13.9 -252.688
"152" "A" "no" "no" -4.047 2.92 27.28 -56.951 21.254 -280.188
"153" "A" "no" "no" -5.664 3.339 29.11 -51.713 17.633 -664.315
"154" "A" "no" "no" -11.27 3.065 27.62 -30.258 6.435 -126.938
"155" "A" "no" "no" -11 3.216 10.34 -62.315 18.465 -366.875
"156" "A" "no" "no" -73.91 5.481 27 -62.315 18.465 -366.875
"157" "A" "no" "no" -93.02 4.755 42.47 -92.912 14.112 -617.75
"158" "A" "no" "no" -10.24 3.185 24.07 -34.9 7.603 -531.938
"159" "A" "no" "no" -15.54 3.587 18.91 -35.91 8.994 -806.5
"160" "A" "no" "no" -9.586 3.602 29.76 -30.466 8.043 -649.688
"161" "A" "no" "no" -1.16 5.01 25.61 -38.022 12.093 -254.25
"162" "A" "no" "no" -13.84 4.168 28.81 -48.407 18.351 -447
"163" "A" "no" "no" -16.96 5.668 15.12 -41.947 10.466 -436.75
"164" "A" "no" "no" -59.24 4.627 17.42 -42.68 10.944 -802.625
"165" "A" "no" "no" -19.88 3.871 18.91 -40.521 7.166 -669.938
"166" "A" "no" "no" -24.99 5.764 18.08 -40.881 8.033 -624.188
"167" "A" "no" "no" -6.793 4.061 20.41 -26.831 4.061 -326.188
"168" "A" "no" "no" -11.28 5.15 19.19 -41.248 8.69 -318
"169" "A" "no" "no" -4.243 7.011 16.09 -39.493 9.112 -459.125
"170" "A" "no" "no" -21.55 4.19 15.3 -39.01 10.873 -302.563
"171" "A" "no" "no" -31.57 7.139 28.93 -33.536 8.732 -712.125
